"datetime","city","country","shape"
2006-10-01,"","",""
2004-10-14,"","",""
2011-10-14,"","",""
2008-10-17,"","",""
2013-10-20,"","",""
2007-10-24,"","",""
2005-10-27,"","",""
2008-10-27,"","",""
2006-10-28,"","",""
2005-10-29,"","",""
2005-10-30,"","",""
2012-10-06,"","",""
2005-10-07,"","",""
2012-11-11,"","",""
1990-11-01,"","",""
1996-11-12,"","",""
2003-11-12,"","",""
2011-11-12,"","",""
2006-11-14,"","",""
1999-11-15,"","",""
1990-01-01,"","",""
2000-01-01,"","",""
2001-01-01,"","",""
2008-11-20,"","",""
1997-11-27,"","",""
2007-11-04,"","",""
1998-01-15,"","",""
2001-11-05,"","",""
2008-01-15,"","",""
2011-01-15,"","",""
2006-01-19,"","",""
2012-01-19,"","",""
1982-01-20,"","",""
2002-12-13,"","",""
2005-12-13,"","",""
2009-12-13,"","",""
2012-12-13,"","",""
2008-12-15,"","",""
2005-12-16,"","",""
2011-12-17,"","",""
2000-01-02,"","",""
2014-01-02,"","",""
1975-12-20,"","",""
2009-12-21,"","",""
1922-12-22,"","",""
2012-12-22,"","",""
2012-12-22,"","",""
2008-12-23,"","",""
2011-12-25,"","",""
2007-12-27,"","",""
2007-12-27,"","",""
1999-12-28,"","",""
2011-12-28,"","",""
2002-12-29,"","",""
1996-12-30,"","",""
2012-12-30,"","",""
2007-12-31,"","",""
2005-12-04,"","",""
2009-01-26,"","",""
2002-12-07,"","",""
2008-12-07,"","",""
2008-01-28,"","",""
2004-01-05,"","",""
2008-01-05,"","",""
2012-01-08,"","",""
2013-01-09,"","",""
2013-02-10,"","",""
NA,"","",""
2006-02-15,"","",""
2001-02-19,"","",""
2009-02-19,"","",""
2007-02-22,"","",""
2001-02-23,"","",""
2008-02-28,"","",""
NA,"","",""
2001-02-05,"","",""
2014-02-07,"","",""
2008-02-09,"","",""
2014-03-01,"","",""
2001-03-14,"","",""
2012-03-14,"","",""
2002-03-15,"","",""
2014-03-15,"","",""
2008-03-16,"","",""
2005-03-19,"","",""
NA,"","",""
2010-03-22,"","",""
2013-03-22,"","",""
2001-03-26,"","",""
2011-03-26,"","",""
2007-03-30,"","",""
1966-03-31,"","",""
2010-03-31,"","",""
2007-03-09,"","",""
2004-04-10,"","",""
NA,"","",""
2004-04-11,"","",""
1998-04-01,"","",""
1996-04-13,"","",""
1996-04-23,"","",""
2007-04-27,"","",""
1981-04-30,"","",""
NA,"","",""
2007-05-13,"","",""
2004-05-14,"","",""
2005-05-14,"","",""
1966-05-15,"","",""
2008-05-15,"","",""
1996-05-16,"","",""
2004-05-16,"","",""
2012-05-16,"","",""
2012-05-17,"","",""
2004-05-20,"","",""
1999-05-24,"","",""
2006-05-24,"","",""
1997-05-27,"","",""
2001-05-27,"","",""
2002-05-05,"","",""
